date,order,unit,qty
1514023255339,ask,18640000,0.78787661
1514023255339,ask,18648000,0.00300000
1514023255339,ask,18650000,5.46150000
1514023255339,ask,18678000,0.05690000
1514023255339,ask,18680000,1.01250000
1514023255339,ask,18681000,0.00200000
1514023255339,ask,18687000,0.57990000
1514023255339,bid,18636000,0.38220000
1514023255339,bid,18625000,1.68328247
1514023255339,bid,18611000,0.60000000
1514023255339,bid,18610000,4.68125658
1514023255339,bid,18601000,0.27710000
1514023255339,bid,18600000,0.53760000
1514023255339,bid,18585000,3.70656969
1514023256333,ask,18640000,0.78769517
1514023256333,ask,18648000,0.00300000
1514023256333,ask,18650000,5.46150000
1514023256333,ask,18678000,0.05690000
1514023256333,ask,18680000,1.01250000
1514023256333,ask,18681000,0.00200000
1514023256333,ask,18687000,0.57990000
1514023256333,bid,18636000,0.38220000
1514023256333,bid,18625000,1.71068247
1514023256333,bid,18611000,0.60000000
1514023256333,bid,18610000,4.68125658
1514023256333,bid,18601000,0.27710000
1514023256333,bid,18600000,0.53760000
1514023256333,bid,18585000,3.70656969
1514023257418,ask,18640000,0.78769517
1514023257418,ask,18648000,0.00300000
1514023257418,ask,18650000,5.46150000
1514023257418,ask,18678000,0.05690000
1514023257418,ask,18680000,1.01250000
1514023257418,ask,18681000,0.00200000
1514023257418,ask,18687000,0.57990000
1514023257418,bid,18636000,0.38220000
1514023257418,bid,18625000,1.71068247
1514023257418,bid,18611000,0.90000000
1514023257418,bid,18610000,4.66965658
1514023257418,bid,18601000,0.27710000
1514023257418,bid,18600000,0.53760000
1514023257418,bid,18585000,3.70656969
1514023258637,ask,18640000,0.78769517
1514023258637,ask,18648000,0.00300000
1514023258637,ask,18650000,5.46150000
1514023258637,ask,18678000,0.05690000
1514023258637,ask,18680000,1.01250000
1514023258637,ask,18681000,0.00200000
1514023258637,ask,18687000,0.57990000
1514023258637,bid,18625000,1.71068247
1514023258637,bid,18611000,0.90000000
1514023258637,bid,18610000,4.66965658
1514023258637,bid,18600000,0.56380000
1514023258637,bid,18586000,0.15430000
1514023258637,bid,18585000,3.70656969
1514023258637,bid,18568000,0.71070000
1514023259559,ask,18640000,0.78769517
1514023259559,ask,18648000,0.00300000
1514023259559,ask,18650000,5.46150000
1514023259559,ask,18678000,0.05690000
1514023259559,ask,18680000,1.01250000
1514023259559,ask,18681000,0.00200000
1514023259559,ask,18687000,0.57990000
1514023259559,bid,18630000,2.49900000
1514023259559,bid,18625000,1.71068247
1514023259559,bid,18611000,0.90000000
1514023259559,bid,18610000,4.66965658
1514023259559,bid,18600000,0.56380000
1514023259559,bid,18586000,0.15430000
1514023259559,bid,18585000,3.70656969
