name,url,url-href,price_min,price_max,screen_size_cm,chipset,series,cpu,operating_system,ssd,memory,resolution,cpu_speed,memory_type
"에이수스 R516UX-DM031","에이수스 R516UX-DM031","http://shopping.naver.com/detail/detail.nhn?nv_mid=9813110858&cat_id=50000151&frm=NVSHCHK&query=","800,800","1,022,700","39.62","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 미포함","null","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR4"
"삼성전자 노트북2 NT270E5K-K36D","삼성전자 노트북2 NT270E5K-K36D","http://shopping.naver.com/detail/detail.nhn?nv_mid=9480565179&cat_id=50000151&frm=NVSHCHK&query=","578,520","1,461,000","15.6","인텔","코어 i3","CPU : i3-5005U","운영체제 : 윈도우10","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1366x768","CPU속도 : 2.0GHz","메모리 타입 : LPDDR3"
"어로스 X5 V6","어로스 X5 V6","http://shopping.naver.com/detail/detail.nhn?nv_mid=10402250531&cat_id=50000151&frm=NVSHCHK&query=","2,952,340","3,276,000","39.62","인텔","코어 i7","CPU : i7-6820HK(스카이레이크)","운영체제 : 윈도우10","null","메모리 용량 : 16GB","해상도 : 2880x1620","CPU속도 : 2.7GHz","메모리 타입 : DDR4"
"기가바이트 P57W V6 Dual Lite","기가바이트 P57W V6 Dual Lite","http://shopping.naver.com/detail/detail.nhn?nv_mid=10294406146&cat_id=50000151&frm=NVSHCHK&query=","1,755,980","2,016,180","43.94","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 미포함","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.6GHz","메모리 타입 : DDR4"
"삼성전자 노트북3 NT300E5K-KSF","삼성전자 노트북3 NT300E5K-KSF","http://shopping.naver.com/detail/detail.nhn?nv_mid=10395387995&cat_id=50000151&frm=NVSHCHK&query=","729,000","1,125,900","39.6","인텔","코어 i5","CPU : i5-5200U","운영체제 : 윈도우10","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1366x768","CPU속도 : 2.2GHz","메모리 타입 : DDR3L"
"에이서 ASPIRE V3-372 Edelweiss","에이서 ASPIRE V3-372 Edelweiss","http://shopping.naver.com/detail/detail.nhn?nv_mid=9143432532&cat_id=50000151&frm=NVSHCHK&query=","459,000","679,000","33.7","인텔","펜티엄","CPU : 4405U","운영체제 : 리눅스","null","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 2.1GHz","메모리 타입 : DDR3L"
"엘지전자 울트라 PC 그램 14ZD950-GX7BK","엘지전자 울트라 PC 그램 14ZD950-GX7BK","http://shopping.naver.com/detail/detail.nhn?nv_mid=8229255784&cat_id=50000151&frm=NVSHCHK&query=","1,187,800","2,435,000","35.5","인텔","코어 i7","CPU : i7-5500U","운영체제 : 미포함","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.4GHz","메모리 타입 : DDR3L"
"삼성전자 노트북9 Lite NT910S3Q-K38S","삼성전자 노트북9 Lite NT910S3Q-K38S","http://shopping.naver.com/detail/detail.nhn?nv_mid=9678468084&cat_id=50000151&frm=NVSHCHK&query=","683,900","990,000","33.7","인텔","코어 i3","CPU : i3-6100U(스카이레이크)","운영체제 : 미포함","SSD : 128GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : LPDDR3"
"엘지전자 15ND365-LX10K","엘지전자 15ND365-LX10K","http://shopping.naver.com/detail/detail.nhn?nv_mid=9838266863&cat_id=50000151&frm=NVSHCHK&query=","402,810","549,000","39.6","인텔","펜티엄","CPU : 4405U","운영체제 : 미포함","null","메모리 용량 : 4GB","해상도 : 1366x768","CPU속도 : 2.1GHz","메모리 타입 : DDR3L"
"엘지전자 울트라 PC 15UD560-KX50K","엘지전자 울트라 PC 15UD560-KX50K","http://shopping.naver.com/detail/detail.nhn?nv_mid=9311414557&cat_id=50000151&frm=NVSHCHK&query=","949,000","1,280,000","39.62","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 미포함","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR3L"
"삼성전자 노트북9 Lite NT910S3K-K38S","삼성전자 노트북9 Lite NT910S3K-K38S","http://shopping.naver.com/detail/detail.nhn?nv_mid=9303722193&cat_id=50000151&frm=NVSHCHK&query=","749,000","993,480","13.3","인텔","코어 i3","CPU : i3-5005U","운영체제 : 윈도우10","SSD : 128GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.0GHz","메모리 타입 : DDR3"
"삼성전자 노트북9 Lite NT910S3P-K58S","삼성전자 노트북9 Lite NT910S3P-K58S","http://shopping.naver.com/detail/detail.nhn?nv_mid=8386243690&cat_id=50000151&frm=NVSHCHK&query=","805,570","2,001,600","33.78","인텔","코어 i5","CPU : i5-5200U","운영체제 : 미포함","SSD : 128GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.2GHz","메모리 타입 : LPDDR3"
"엘지전자 그램 PC 14ZD960-GX3GK","엘지전자 그램 PC 14ZD960-GX3GK","http://shopping.naver.com/detail/detail.nhn?nv_mid=9274727857&cat_id=50000151&frm=NVSHCHK&query=","944,600","1,299,000","35.5","인텔","코어 i3","CPU : i3-6100U(스카이레이크)","운영체제 : 미포함","null","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR3L"
"엘지전자 올데이 그램 15Z970-GA56K","엘지전자 올데이 그램 15Z970-GA56K","http://shopping.naver.com/detail/detail.nhn?nv_mid=10856407683&cat_id=50000151&frm=NVSHCHK&query=","1,638,900","2,376,560","39.6","인텔","코어 i5","CPU : i5-7200U(카비레이크)","운영체제 : 윈도우10","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.5GHz","메모리 타입 : DDR4"
"삼성전자 노트북9 NT900X3Q-KD5S","삼성전자 노트북9 NT900X3Q-KD5S","http://shopping.naver.com/detail/detail.nhn?nv_mid=8864179389&cat_id=50000151&frm=NVSHCHK&query=","788,000","1,416,480","33.7","인텔","코어 i5","CPU : i5-5200U","운영체제 : 미포함","SSD : 128GB","메모리 용량 : 8GB","해상도 : 3200x1800","CPU속도 : 2.2GHz","메모리 타입 : LPDDR3"
"에이수스 E502SA-DM065","에이수스 E502SA-DM065","http://shopping.naver.com/detail/detail.nhn?nv_mid=10094600294&cat_id=50000151&frm=NVSHCHK&query=","343,350","378,378","39.62","인텔","셀러론 듀얼코어","CPU : N3050","운영체제 : 미포함","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 1.6GHz","메모리 타입 : DDR3"
"엘지전자 올데이 그램 15Z970-GA7HK","엘지전자 올데이 그램 15Z970-GA7HK","http://shopping.naver.com/detail/detail.nhn?nv_mid=10856390683&cat_id=50000151&frm=NVSHCHK&query=","1,981,520","2,539,000","39.6","인텔","코어 i7","CPU : i7-7500U(카비레이크)","운영체제 : 윈도우10","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.7GHz","메모리 타입 : DDR4"
"애플 맥북프로 MLVP2KH/A","애플 맥북프로 MLVP2KH/A","http://shopping.naver.com/detail/detail.nhn?nv_mid=10578897884&cat_id=50000151&frm=NVSHCHK&query=","1,997,660","2,390,000","33.78","인텔","코어 i5","null","운영체제 : MAC OS","SSD : 256GB","메모리 용량 : 8GB","해상도 : 2560x1600","CPU속도 : 2.9GHz","메모리 타입 : LPDDR3"
"삼성전자 노트북9 NT900X3K-K78S","삼성전자 노트북9 NT900X3K-K78S","http://shopping.naver.com/detail/detail.nhn?nv_mid=8185426302&cat_id=50000151&frm=NVSHCHK&query=","1,253,900","3,442,120","13.3","인텔","코어 i7","CPU : i7-5500U","운영체제 : 윈도우8.1","SSD : 256GB","메모리 용량 : 8GB","해상도 : 3200x1800","CPU속도 : 2.4GHz","메모리 타입 : LPDDR3"
"삼성전자 노트북9 Always NT900X5N-K58L","삼성전자 노트북9 Always NT900X5N-K58L","http://shopping.naver.com/detail/detail.nhn?nv_mid=10829112621&cat_id=50000151&frm=NVSHCHK&query=","1,682,100","1,840,860","38.1","인텔","코어 i5","CPU : i5-7200U(카비레이크)","운영체제 : 윈도우10","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.5GHz","메모리 타입 : DDR4"
"삼성전자 노트북2 NT270E5Q-KD3S","삼성전자 노트북2 NT270E5Q-KD3S","http://shopping.naver.com/detail/detail.nhn?nv_mid=9021327654&cat_id=50000151&frm=NVSHCHK&query=","529,000","870,000","39.6","인텔","코어 i3","CPU : i3-5005U","운영체제 : 미포함","null","메모리 용량 : 4GB","해상도 : 1366x768","CPU속도 : 2.0GHz","메모리 타입 : LPDDR3"
"삼성전자 노트북9 metal NT900X3W-K58WS","삼성전자 노트북9 metal NT900X3W-K58WS","http://shopping.naver.com/detail/detail.nhn?nv_mid=10542114116&cat_id=50000151&frm=NVSHCHK&query=","1,136,650","1,626,580","33.7","인텔","코어 i5","CPU : i5-7200U(카비레이크)","운영체제 : 미포함","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.5GHz","메모리 타입 : LPDDR3"
"삼성전자 노트북9 metal NT900X3L-K78L","삼성전자 노트북9 metal NT900X3L-K78L","http://shopping.naver.com/detail/detail.nhn?nv_mid=9306613177&cat_id=50000151&frm=NVSHCHK&query=","1,506,620","1,996,700","33.7","인텔","코어 i7","CPU : i7-6500U(스카이레이크)","운영체제 : 윈도우10","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.5GHz","메모리 타입 : LPDDR3"
"엘지전자 그램 PC 15ZD960-GX3DK","엘지전자 그램 PC 15ZD960-GX3DK","http://shopping.naver.com/detail/detail.nhn?nv_mid=9658197012&cat_id=50000151&frm=NVSHCHK&query=","946,930","1,399,000","39.6","인텔","코어 i3","CPU : i3-6100U(스카이레이크)","운영체제 : 미포함","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR3L"
"레노버 아이디어패드 Y700-i5 MEKA 15","레노버 아이디어패드 Y700-i5 MEKA 15","http://shopping.naver.com/detail/detail.nhn?nv_mid=10657948882&cat_id=50000151&frm=NVSHCHK&query=","799,000","954,000","39.6","인텔","코어 i5","CPU : i5-6300HQ(스카이레이크)","운영체제 : 미포함","null","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR4"
"엘지전자 울트라 PC 15UD470-KX70K","엘지전자 울트라 PC 15UD470-KX70K","http://shopping.naver.com/detail/detail.nhn?nv_mid=10714917229&cat_id=50000151&frm=NVSHCHK&query=","1,248,000","1,249,000","39.6","인텔","코어 i7","CPU : i7-7500U(카비레이크)","운영체제 : 미포함","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.7GHz","메모리 타입 : DDR4"
"삼성전자 노트북5 NT500R5W-XD5S","삼성전자 노트북5 NT500R5W-XD5S","http://shopping.naver.com/detail/detail.nhn?nv_mid=10829135932&cat_id=50000151&frm=NVSHCHK&query=","947,000","5,200,000","39.6","인텔","코어 i5","CPU : i5-7200U(카비레이크)","운영체제 : 미포함","SSD : 128GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.5GHz","메모리 타입 : DDR4"
"엘지전자 울트라 PC 15U560-GR5PK","엘지전자 울트라 PC 15U560-GR5PK","http://shopping.naver.com/detail/detail.nhn?nv_mid=9303611521&cat_id=50000151&frm=NVSHCHK&query=","915,460","1,474,460","15.6","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 윈도우10","null","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR3L"
"삼성전자 노트북9 Lite NT910S3L-M38S","삼성전자 노트북9 Lite NT910S3L-M38S","http://shopping.naver.com/detail/detail.nhn?nv_mid=10022765991&cat_id=50000151&frm=NVSHCHK&query=","829,000","1,120,100","33.7","인텔","코어 i3","CPU : i3-6100U(스카이레이크)","운영체제 : 윈도우10","SSD : 128GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR4"
"애플 맥북프로 MJLQ2KH/A","애플 맥북프로 MJLQ2KH/A","http://shopping.naver.com/detail/detail.nhn?nv_mid=8605628766&cat_id=50000151&frm=NVSHCHK&query=","1,977,440","3,576,340","39.11","인텔","코어 i7","null","운영체제 : Mac OS X Yosemite","SSD : 256GB","메모리 용량 : 16GB","해상도 : 2880x1800","CPU속도 : 2.2GHz","메모리 타입 : DDR3L"
"애플 맥북에어 MD231KH/A","애플 맥북에어 MD231KH/A","http://shopping.naver.com/detail/detail.nhn?nv_mid=6463696638&cat_id=50000151&frm=NVSHCHK&query=","838,000","2,889,980","13.3","인텔","코어 i5","CPU : i5-3427U","운영체제 : OSX Lion","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1440x900","CPU속도 : 1.8GHz","메모리 타입 : DDR3"
"삼성전자 노트북9 metal NT900X5L-K38S","삼성전자 노트북9 metal NT900X5L-K38S","http://shopping.naver.com/detail/detail.nhn?nv_mid=9266485256&cat_id=50000151&frm=NVSHCHK&query=","1,063,900","1,948,000","38.1","인텔","코어 i3","CPU : i3-6100U(스카이레이크)","운영체제 : 윈도우10","SSD : 128GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : LPDDR3"
"기가바이트 P37X V6 Dual 256 UHD Lite","기가바이트 P37X V6 Dual 256 UHD Lite","http://shopping.naver.com/detail/detail.nhn?nv_mid=10315378170&cat_id=50000151&frm=NVSHCHK&query=","2,206,950","2,798,000","43.94","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 미포함","null","메모리 용량 : 8GB","해상도 : 3840x2160","CPU속도 : 2.6GHz","메모리 타입 : DDR4"
"에이수스 R510VX-DM362D","에이수스 R510VX-DM362D","http://shopping.naver.com/detail/detail.nhn?nv_mid=10395463411&cat_id=50000151&frm=NVSHCHK&query=","798,000","854,540","39.62","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 미포함","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 2.6GHz","메모리 타입 : DDR4"
"삼성전자 노트북9 metal NT900X3P-KD5S","삼성전자 노트북9 metal NT900X3P-KD5S","http://shopping.naver.com/detail/detail.nhn?nv_mid=9535864708&cat_id=50000151&frm=NVSHCHK&query=","1,098,820","2,435,000","33.7","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 미포함","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : LPDDR3"
"삼성전자 노트북9 metal NT900X5P-KD5S","삼성전자 노트북9 metal NT900X5P-KD5S","http://shopping.naver.com/detail/detail.nhn?nv_mid=9515938557&cat_id=50000151&frm=NVSHCHK&query=","1,178,000","3,000,000","38.1","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 미포함","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : LPDDR3"
"레노버 아이디어패드 Y700 Sky Kaiser 15 W10","레노버 아이디어패드 Y700 Sky Kaiser 15 W10","http://shopping.naver.com/detail/detail.nhn?nv_mid=9144200083&cat_id=50000151&frm=NVSHCHK&query=","1,129,000","1,345,900","39.6","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 윈도우10","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.6GHz","메모리 타입 : DDR4"
"기가바이트 P35W V5 7S11IFLD","기가바이트 P35W V5 7S11IFLD","http://shopping.naver.com/detail/detail.nhn?nv_mid=10507486349&cat_id=50000151&frm=NVSHCHK&query=","1,548,000","1,790,000","39.62","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 미포함","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.6GHz","메모리 타입 : DDR4L"
"삼성전자 NT110S1K-K14WS","삼성전자 NT110S1K-K14WS","http://shopping.naver.com/detail/detail.nhn?nv_mid=9303608101&cat_id=50000151&frm=NVSHCHK&query=","477,900","974,000","29.5","인텔","셀러론 듀얼코어","CPU : N3050","운영체제 : 윈도우10","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1366x768","CPU속도 : 1.6GHz","메모리 타입 : DDR3L"
"애플 맥북 MMGM2KH/A","애플 맥북 MMGM2KH/A","http://shopping.naver.com/detail/detail.nhn?nv_mid=9848298722&cat_id=50000151&frm=NVSHCHK&query=","1,627,110","1,990,000","30.48","인텔","코어M","CPU : m5-6Y54","운영체제 : Mac OS X E1 Capitan","SSD : 512GB","메모리 용량 : 8GB","해상도 : 2304x1440","CPU속도 : 1.2GHz","메모리 타입 : LPDDR3"
"삼성전자 노트북2 NT270E5K-K26W","삼성전자 노트북2 NT270E5K-K26W","http://shopping.naver.com/detail/detail.nhn?nv_mid=9273895855&cat_id=50000151&frm=NVSHCHK&query=","525,470","800,000","39.6","인텔","펜티엄 듀얼-코어","CPU : 3825U","운영체제 : 윈도우10","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1366x768","CPU속도 : 1.9GHz","메모리 타입 : LPDDR3"
"HP ENVY 13-D057TU","HP ENVY 13-D057TU","http://shopping.naver.com/detail/detail.nhn?nv_mid=9531292485&cat_id=50000151&frm=NVSHCHK&query=","876,570","1,149,000","13.3","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 윈도우10","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : LPDDR3"
"엘지전자 울트라 PC 15UD340-LX2TK","엘지전자 울트라 PC 15UD340-LX2TK","http://shopping.naver.com/detail/detail.nhn?nv_mid=9892074286&cat_id=50000151&frm=NVSHCHK&query=","360,290","533,140","39.6","인텔","셀러론 듀얼코어","CPU : N2840","운영체제 : 미포함","null","메모리 용량 : 4GB","해상도 : 1366x768","CPU속도 : 2.16GHz","메모리 타입 : DDR3L"
"기가바이트 P15F V5 7S11IFN10","기가바이트 P15F V5 7S11IFN10","http://shopping.naver.com/detail/detail.nhn?nv_mid=9379445386&cat_id=50000151&frm=NVSHCHK&query=","1,098,220","1,245,000","39.62","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 윈도우10","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.6GHz","메모리 타입 : DDR3L"
"애플 맥북에어 MC966KH/A","애플 맥북에어 MC966KH/A","http://shopping.naver.com/detail/detail.nhn?nv_mid=5840999809&cat_id=50000151&frm=NVSHCHK&query=","1,565,200","4,899,900","13.3","인텔","코어 i5","CPU : i5-2557M","운영체제 : OSX Lion","SSD : 256GB","메모리 용량 : 4GB","해상도 : 1440x900","CPU속도 : 1.7GHz","메모리 타입 : DDR3"
"엘지전자 그램 PC 15Z960-GA5GK","엘지전자 그램 PC 15Z960-GA5GK","http://shopping.naver.com/detail/detail.nhn?nv_mid=10027924306&cat_id=50000151&frm=NVSHCHK&query=","1,365,300","1,699,000","39.6","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 윈도우10","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR3L"
"HP 오멘 15-AX024TX","HP 오멘 15-AX024TX","http://shopping.naver.com/detail/detail.nhn?nv_mid=10035051254&cat_id=50000151&frm=NVSHCHK&query=","1,436,190","1,594,680","39.6","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 윈도우10","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.6GHz","메모리 타입 : DDR4"
"삼성전자 노트북5 NT500R5P-YD7S","삼성전자 노트북5 NT500R5P-YD7S","http://shopping.naver.com/detail/detail.nhn?nv_mid=9592991907&cat_id=50000151&frm=NVSHCHK&query=","1,078,080","1,431,750","39.62","인텔","코어 i7","CPU : i7-6500U(스카이레이크)","운영체제 : 미포함","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.5GHz","메모리 타입 : LPDDR3"
"에이서 ASPIRE ES1-331-C1WL","에이서 ASPIRE ES1-331-C1WL","http://shopping.naver.com/detail/detail.nhn?nv_mid=8808108941&cat_id=50000151&frm=NVSHCHK&query=","279,000","null","13.3","인텔","셀러론 쿼드코어","CPU : N3150","운영체제 : 윈도우8.1","SSD : 32GB","메모리 용량 : 2GB","해상도 : 1366x768","CPU속도 : 1.6GHz","메모리 타입 : DDR3L"
"애플 맥북프로 MLW82KH/A","애플 맥북프로 MLW82KH/A","http://shopping.naver.com/detail/detail.nhn?nv_mid=10583330214&cat_id=50000151&frm=NVSHCHK&query=","3,177,000","3,620,000","39.11","인텔","코어 i7","CPU : i7-6820HQ(스카이레이크)","운영체제 : MAC OS","SSD : 512GB","메모리 용량 : 16GB","해상도 : 2880x1800","CPU속도 : 2.7GHz","메모리 타입 : LPDDR3"
"엘지전자 그램 PC 14Z960-GA56K","엘지전자 그램 PC 14Z960-GA56K","http://shopping.naver.com/detail/detail.nhn?nv_mid=9278647281&cat_id=50000151&frm=NVSHCHK&query=","1,256,540","1,609,000","35.5","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 윈도우10","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR3L"
"기가바이트 P57X v6 Dual Lite","기가바이트 P57X v6 Dual Lite","http://shopping.naver.com/detail/detail.nhn?nv_mid=10200831390&cat_id=50000151&frm=NVSHCHK&query=","2,001,140","21,847,140","43.94","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 미포함","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.6GHz","메모리 타입 : DDR4"
"기가바이트 AERO 14 v6 WIN10","기가바이트 AERO 14 v6 WIN10","http://shopping.naver.com/detail/detail.nhn?nv_mid=10720818527&cat_id=50000151&frm=NVSHCHK&query=","2,039,270","2,247,000","35.56","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 윈도우10","null","메모리 용량 : 8GB","해상도 : 2560x1440","CPU속도 : 2.6GHz","메모리 타입 : DDR4"
"삼성전자 아티브 NT110S1J-K14WS","삼성전자 아티브 NT110S1J-K14WS","http://shopping.naver.com/detail/detail.nhn?nv_mid=8178377293&cat_id=50000151&frm=NVSHCHK&query=","479,000","899,900","11.6","인텔","셀러론","CPU : N2840","운영체제 : 윈도우8.1","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1366x768","CPU속도 : 2.16GHz","메모리 타입 : DDR3L"
"삼성전자 노트북9 metal NT900X3L-K24S","삼성전자 노트북9 metal NT900X3L-K24S","http://shopping.naver.com/detail/detail.nhn?nv_mid=9266422690&cat_id=50000151&frm=NVSHCHK&query=","806,990","1,948,000","13.3","인텔","펜티엄","CPU : 4405U","운영체제 : 윈도우10","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 2.1GHz","메모리 타입 : LPDDR3"
"HP 파빌리온 15-bc033TX","HP 파빌리온 15-bc033TX","http://shopping.naver.com/detail/detail.nhn?nv_mid=10145186268&cat_id=50000151&frm=NVSHCHK&query=","979,000","1,099,000","39.62","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 미포함","null","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 2.6GHz","메모리 타입 : DDR4"
"삼성전자 노트북9 metal NT900X3L-K38WS","삼성전자 노트북9 metal NT900X3L-K38WS","http://shopping.naver.com/detail/detail.nhn?nv_mid=9536251617&cat_id=50000151&frm=NVSHCHK&query=","1,097,900","1,534,540","33.7","인텔","코어 i3","CPU : i3-6100U(스카이레이크)","운영체제 : 윈도우10","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : LPDDR3"
"기가바이트 P17F R5 DUAL Lite","기가바이트 P17F R5 DUAL Lite","http://shopping.naver.com/detail/detail.nhn?nv_mid=10234932150&cat_id=50000151&frm=NVSHCHK&query=","1,095,880","2,058,030","43.94","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 미포함","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.6GHz","메모리 타입 : DDR4"
"삼성전자 노트북9 metal NT900X5L-K59S","삼성전자 노트북9 metal NT900X5L-K59S","http://shopping.naver.com/detail/detail.nhn?nv_mid=9641393194&cat_id=50000151&frm=NVSHCHK&query=","1,393,400","1,801,900","38.1","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 윈도우10","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : LPDDR3"
"엘지전자 15N365-GR5DK","엘지전자 15N365-GR5DK","http://shopping.naver.com/detail/detail.nhn?nv_mid=9812536609&cat_id=50000151&frm=NVSHCHK&query=","898,900","1,100,000","39.6","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 윈도우10","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR3L"
"엘지전자 울트라 PC 그램 13Z950-GA3NK","엘지전자 울트라 PC 그램 13Z950-GA3NK","http://shopping.naver.com/detail/detail.nhn?nv_mid=9303666804&cat_id=50000151&frm=NVSHCHK&query=","956,800","1,164,910","33.7","인텔","코어 i3","CPU : i3-5005U","운영체제 : 윈도우10","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.2GHz","메모리 타입 : DDR3L"
"엘지전자 울트라 PC 14U360-EU1CK","엘지전자 울트라 PC 14U360-EU1CK","http://shopping.naver.com/detail/detail.nhn?nv_mid=9184275869&cat_id=50000151&frm=NVSHCHK&query=","389,000","1,000,000","35.5","인텔","셀러론 쿼드코어","CPU : N3150","운영체제 : 윈도우10","SSD : 32GB","메모리 용량 : 2GB","해상도 : 1366x768","CPU속도 : 1.6GHz","메모리 타입 : DDR3L"
"삼성전자 노트북5 NT500R5H-L39S","삼성전자 노트북5 NT500R5H-L39S","http://shopping.naver.com/detail/detail.nhn?nv_mid=9283734550&cat_id=50000151&frm=NVSHCHK&query=","779,360","1,753,200","39.6","인텔","코어 i3","CPU : i3-5005U","운영체제 : 윈도우10","SSD : 128GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.0GHz","메모리 타입 : LPDDR3"
"엘지전자 울트라 PC 15U560-KA51K","엘지전자 울트라 PC 15U560-KA51K","http://shopping.naver.com/detail/detail.nhn?nv_mid=9344943102&cat_id=50000151&frm=NVSHCHK&query=","1,133,390","1,372,300","39.6","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 윈도우10","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR3L"
"HP 15-AC654TU","HP 15-AC654TU","http://shopping.naver.com/detail/detail.nhn?nv_mid=9469400985&cat_id=50000151&frm=NVSHCHK&query=","329,650","470,650","15.6","인텔","팬티엄 쿼드-코어","CPU : N3700","운영체제 : 미포함","null","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 1.6GHz","메모리 타입 : DDR3L"
