name,url,url-href,price_min,price_max,screen_size_cm,chipset,series,cpu,operating_system,ssd,memory,resolution,cpu_speed,memory_type
"DELL XPS 15 9550 X54B721KR","DELL XPS 15 9550 X54B721KR","http://shopping.naver.com/detail/detail.nhn?nv_mid=9143832861&cat_id=50000151&frm=NVSHCHK&query=","2,399,110","2,473,600","15.6","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 윈도우10","SSD : 512GB","메모리 용량 : 16GB","해상도 : 3840x2160","CPU속도 : 2.6GHz","메모리 타입 : DDR4"
"기가바이트 P57X v6 Dual WIN10","기가바이트 P57X v6 Dual WIN10","http://shopping.naver.com/detail/detail.nhn?nv_mid=10200831656&cat_id=50000151&frm=NVSHCHK&query=","2,113,640","23,090,300","43.94","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 윈도우10","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.6GHz","메모리 타입 : DDR4"
"엘지전자 그램 PC 15ZD960-GX50K","엘지전자 그램 PC 15ZD960-GX50K","http://shopping.naver.com/detail/detail.nhn?nv_mid=9279029835&cat_id=50000151&frm=NVSHCHK&query=","1,240,100","1,990,000","39.62","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 미포함","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR3L"
"HP 파빌리온 15-bc032TX","HP 파빌리온 15-bc032TX","http://shopping.naver.com/detail/detail.nhn?nv_mid=10153167653&cat_id=50000151&frm=NVSHCHK&query=","1,027,440","1,089,000","39.62","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 미포함","null","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 2.6GHz","메모리 타입 : DDR4"
"삼성전자 노트북9 Lite NT910S3L-M58S","삼성전자 노트북9 Lite NT910S3L-M58S","http://shopping.naver.com/detail/detail.nhn?nv_mid=10022766461&cat_id=50000151&frm=NVSHCHK&query=","999,000","1,266,200","33.7","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 윈도우10","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR4"
"HP 11-R019TU","HP 11-R019TU","http://shopping.naver.com/detail/detail.nhn?nv_mid=9207415535&cat_id=50000151&frm=NVSHCHK&query=","209,000","421,870","29.46","인텔","셀러론","CPU : N2840","운영체제 : 윈도우10","SSD : 32GB","메모리 용량 : 2GB","해상도 : 1366x768","CPU속도 : 2.16GHz","메모리 타입 : DDR3L"
"HP 15-AC653TU","HP 15-AC653TU","http://shopping.naver.com/detail/detail.nhn?nv_mid=9469426522&cat_id=50000151&frm=NVSHCHK&query=","324,020","417,880","15.6","인텔","팬티엄 쿼드-코어","CPU : N3700","운영체제 : 미포함","null","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 1.6GHz","메모리 타입 : DDR3L"
"엘지전자 울트라 PC 15U340-LR3DK","엘지전자 울트라 PC 15U340-LR3DK","http://shopping.naver.com/detail/detail.nhn?nv_mid=9432499312&cat_id=50000151&frm=NVSHCHK&query=","672,940","1,945,310","39.6","인텔","팬티엄 쿼드-코어","CPU : N3540","운영체제 : 윈도우10","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1366x768","CPU속도 : 2.16GHz","메모리 타입 : DDR3L"
"삼성전자 NT450R4J-K34S","삼성전자 NT450R4J-K34S","http://shopping.naver.com/detail/detail.nhn?nv_mid=9139945941&cat_id=50000151&frm=NVSHCHK&query=","498,000","669,490","35.56","인텔","코어 i3","CPU : i3-4005U","운영체제 : 윈도우8.1","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1366x768","CPU속도 : 1.7GHz","메모리 타입 : DDR3L"
"애플 맥북에어 MJVE2KH/A","애플 맥북에어 MJVE2KH/A","http://shopping.naver.com/detail/detail.nhn?nv_mid=8549559410&cat_id=50000151&frm=NVSHCHK&query=","1,029,580","1,948,000","33.7","인텔","코어 i5","null","운영체제 : Mac OS X Mavericks","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1440x900","CPU속도 : 1.6GHz","메모리 타입 : LPDDR3"
"엘지전자 탭북 듀오 10T360-B830K","엘지전자 탭북 듀오 10T360-B830K","http://shopping.naver.com/detail/detail.nhn?nv_mid=9338084666&cat_id=50000151&frm=NVSHCHK&query=","475,560","1,383,180","25.6","인텔","아톰","CPU : Z3735F","운영체제 : 윈도우10","null","메모리 용량 : 2GB","해상도 : 1280x800","CPU속도 : 1.33GHz","메모리 타입 : DDR3L"
"삼성전자 NT110S1R-K14WS","삼성전자 NT110S1R-K14WS","http://shopping.naver.com/detail/detail.nhn?nv_mid=9306275984&cat_id=50000151&frm=NVSHCHK&query=","369,000","1,461,000","29.5","인텔","셀러론","CPU : N3050","운영체제 : 미포함","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1366x768","CPU속도 : 1.6GHz","메모리 타입 : DDR3L"
"삼성전자 노트북9 Lite NT910S3Q-K58S","삼성전자 노트북9 Lite NT910S3Q-K58S","http://shopping.naver.com/detail/detail.nhn?nv_mid=9669430466&cat_id=50000151&frm=NVSHCHK&query=","793,000","1,591,500","33.7","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 미포함","SSD : 128GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : LPDDR3"
"엘지전자 울트라 PC 그램 14ZD950-GX70K","엘지전자 울트라 PC 그램 14ZD950-GX70K","http://shopping.naver.com/detail/detail.nhn?nv_mid=8228902264&cat_id=50000151&frm=NVSHCHK&query=","1,228,000","2,435,000","35.5","인텔","코어 i7","CPU : i7-5500U","운영체제 : 미포함","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.4GHz","메모리 타입 : DDR3L"
"레노버 아이디어패드 Y700 Sky Kaiser 15 1TB + SSD 128GB","레노버 아이디어패드 Y700 Sky Kaiser 15 1TB + SSD 128GB","http://shopping.naver.com/detail/detail.nhn?nv_mid=9420403959&cat_id=50000151&frm=NVSHCHK&query=","1,079,000","1,258,830","15.6","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 미포함","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.6GHz","메모리 타입 : DDR4"
"애플 맥북프로 MC975KH/A","애플 맥북프로 MC975KH/A","http://shopping.naver.com/detail/detail.nhn?nv_mid=6463079032&cat_id=50000151&frm=NVSHCHK&query=","2,839,300","3,070,000","39.11","인텔","코어 i7","CPU : i7-3610QM","운영체제 : OSX Lion","SSD : 256GB","메모리 용량 : 8GB","해상도 : 2880x1800","CPU속도 : 2.3GHz","메모리 타입 : DDR3"
"에이수스 UX310UQ-FC304T","에이수스 UX310UQ-FC304T","http://shopping.naver.com/detail/detail.nhn?nv_mid=10657586277&cat_id=50000151&frm=NVSHCHK&query=","1,165,460","1,179,000","33.7","인텔","코어 i7","CPU : i7-7500U(카비레이크)","운영체제 : 윈도우10","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.7GHz","메모리 타입 : DDR4"
"디지탈클릭 디클 클릭북 D141 Plus","디지탈클릭 디클 클릭북 D141 Plus","http://shopping.naver.com/detail/detail.nhn?nv_mid=10776767442&cat_id=50000151&frm=NVSHCHK&query=","202,840","221,490","35.8","인텔","아톰 x5","CPU : x5-Z8300","운영체제 : 윈도우10","SSD : 32GB","메모리 용량 : 2GB","해상도 : 1366x768","CPU속도 : 1.44GHz","메모리 타입 : DDR3"
"엘지전자 울트라 PC 그램 13ZD940-GX50K SSD 128GB","엘지전자 울트라 PC 그램 13ZD940-GX50K SSD 128GB","http://shopping.naver.com/detail/detail.nhn?nv_mid=7383942615&cat_id=50000151&frm=NVSHCHK&query=","1,015,960","1,884,690","33.78","인텔","코어 i5","CPU : i5-4200U","운영체제 : 미포함","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 1.6GHz","메모리 타입 : DDR3L"
"엘지전자 그램 PC 14Z960-GA50K","엘지전자 그램 PC 14Z960-GA50K","http://shopping.naver.com/detail/detail.nhn?nv_mid=9278699547&cat_id=50000151&frm=NVSHCHK&query=","1,214,100","1,713,720","35.5","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 윈도우10","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR3L"
"엘지전자 그램 PC 15ZD960-GX5BK","엘지전자 그램 PC 15ZD960-GX5BK","http://shopping.naver.com/detail/detail.nhn?nv_mid=9278710835&cat_id=50000151&frm=NVSHCHK&query=","1,285,800","1,559,000","39.62","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 미포함","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR3L"
"레노버 YOGA Book A","레노버 YOGA Book A","http://shopping.naver.com/detail/detail.nhn?nv_mid=10624828260&cat_id=50000151&frm=NVSHCHK&query=","599,000","799,000","25.6","인텔","아톰 x5","CPU : X5-Z8550","운영체제 : 안드로이드 6.0","null","메모리 용량 : 4GB","해상도 : 1920x1200","CPU속도 : 1.44GHz","메모리 타입 : LPDDR3"
"어로스 X7 V6 256 FHD DUAL","어로스 X7 V6 256 FHD DUAL","http://shopping.naver.com/detail/detail.nhn?nv_mid=10506878993&cat_id=50000151&frm=NVSHCHK&query=","3,001,900","3,328,000","43.94","인텔","코어 i7","CPU : i7-6820HK(스카이레이크)","운영체제 : 윈도우10","null","메모리 용량 : 16GB","해상도 : 1920x1080","CPU속도 : 2.7GHz","메모리 타입 : DDR4"
"애플 맥북 MLH72KH/A","애플 맥북 MLH72KH/A","http://shopping.naver.com/detail/detail.nhn?nv_mid=9848711823&cat_id=50000151&frm=NVSHCHK&query=","1,333,700","1,840,860","30.48","인텔","코어M","null","운영체제 : Mac OS X E1 Capitan","SSD : 256GB","메모리 용량 : 8GB","해상도 : 2304x1440","CPU속도 : 1.1GHz","메모리 타입 : LPDDR3"
"삼성전자 노트북9 pro NT930Z5L-X716","삼성전자 노트북9 pro NT930Z5L-X716","http://shopping.naver.com/detail/detail.nhn?nv_mid=10022504548&cat_id=50000151&frm=NVSHCHK&query=","2,268,900","2,909,080","39.6","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 윈도우10","SSD : 256GB","메모리 용량 : 16GB","해상도 : 3840x2160","CPU속도 : 2.6GHz","메모리 타입 : LPDDR3"
"HP 스트림 11-y016TU","HP 스트림 11-y016TU","http://shopping.naver.com/detail/detail.nhn?nv_mid=10614097190&cat_id=50000151&frm=NVSHCHK&query=","249,000","269,000","29.5","인텔","셀러론","CPU : N3060","운영체제 : 윈도우10","null","메모리 용량 : 4GB","해상도 : 1366x768","CPU속도 : 1.6GHz","메모리 타입 : DDR3L"
"DELL 인스피론 15 7559 D730I7559301KR","DELL 인스피론 15 7559 D730I7559301KR","http://shopping.naver.com/detail/detail.nhn?nv_mid=9907084455&cat_id=50000151&frm=NVSHCHK&query=","799,000","913,830","39.62","인텔","코어 i5","CPU : i5-6300HQ(스카이레이크)","운영체제 : 미포함","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR3L"
"삼성전자 노트북5 NT500R5P-MD5S","삼성전자 노트북5 NT500R5P-MD5S","http://shopping.naver.com/detail/detail.nhn?nv_mid=9953550900&cat_id=50000151&frm=NVSHCHK&query=","749,000","1,940,000","39.6","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 미포함","SSD : 128GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR4"
